None,A,C,B,D,F,E,ignore,G,ignore,perfect
33,31,36,33,33,27,27,28,22,33,20
40,36,30,40,31,29,30,29,29,31,29
56,40,40,56,53,35,35,35,35,38,35
24,20,22,23,23,22,22,22,22,23,20
36,27,21,36,36,20,20,19,19,27,19
37,23,23,32,26,25,23,23,23,25,21
45,43,25,44,30,25,25,25,25,30,25
24,22,22,24,22,22,22,22,22,22,22
40,34,27,40,39,32,27,28,28,35,27
50,47,43,50,50,41,42,41,35,47,29
29,25,22,28,22,22,22,26,24,27,20
40,39,31,36,27,27,27,30,27,29,27
30,28,26,30,29,29,24,27,25,30,24
34,32,22,34,32,21,22,23,21,32,20
23,18,18,23,21,18,18,18,18,23,18
32,27,27,31,30,27,27,27,27,27,27
37,35,31,36,37,31,31,25,25,31,20
53,49,42,53,42,42,42,48,42,41,37
28,25,24,25,24,24,24,24,24,25,24
33,32,26,32,32,19,21,19,19,32,19
45,37,26,40,35,26,26,26,26,34,26
53,51,43,53,43,40,41,37,37,48,37
22,20,20,21,20,20,20,20,20,20,20
23,18,18,23,21,18,18,18,18,23,18
36,34,31,35,31,29,29,29,29,29,27
52,52,36,51,52,34,32,37,33,47,24
24,20,20,21,20,20,20,21,20,21,18
45,36,21,37,37,24,21,21,21,29,21
27,24,24,27,26,23,23,23,23,26,23
55,33,28,37,34,26,26,26,26,27,26
24,20,20,24,23,21,20,20,20,23,20
30,28,27,30,27,26,26,27,27,29,26
33,30,25,32,32,24,24,24,24,27,23
26,25,21,25,23,22,21,22,22,22,21
58,30,29,51,45,30,28,29,28,51,28
35,29,31,32,32,29,31,29,29,32,24
47,48,22,47,46,21,22,27,22,46,21
53,49,47,53,49,30,29,48,32,32,29
39,28,24,39,28,24,24,24,24,28,24
27,20,20,27,23,20,20,21,21,24,20
58,60,51,58,59,41,45,49,41,45,36
43,31,25,38,37,27,22,26,23,37,22
31,27,22,28,23,22,22,22,22,23,22
33,32,32,33,32,31,32,33,34,31,31
41,32,22,33,33,23,22,22,22,33,22
24,22,22,23,22,22,22,22,22,23,22
27,22,18,27,23,18,18,18,18,27,18
34,33,27,33,30,26,26,27,26,33,26
28,24,22,25,25,22,22,22,22,25,22
36,28,28,31,31,28,28,28,28,29,27
33,29,25,33,31,28,25,26,26,32,25
51,48,33,51,46,36,33,33,31,36,31
29,23,21,28,28,26,21,21,21,23,21
51,55,29,51,32,29,29,29,29,32,29
37,34,33,36,33,34,33,33,33,33,33
31,28,28,30,21,21,21,21,21,28,21
36,24,23,36,26,24,23,23,23,24,23
37,27,24,31,31,20,20,20,20,31,20
39,38,31,38,30,30,30,30,30,31,30
29,22,20,22,20,20,20,20,20,20,20
47,43,30,47,46,29,28,28,28,45,28
30,24,21,28,27,23,21,21,21,28,21
35,39,26,35,30,26,26,27,26,30,26
28,27,23,28,27,23,23,23,23,23,23
27,21,20,27,23,21,20,20,20,23,20
31,32,26,31,28,25,25,26,25,27,25
37,27,26,36,27,26,26,26,26,33,26
46,41,30,45,31,28,28,29,29,31,28
34,32,20,33,32,20,20,20,20,27,20
20,20,18,20,18,18,18,18,18,18,18
30,18,18,29,23,18,18,18,18,18,18
42,38,26,41,28,24,24,25,23,28,23
28,29,28,28,26,20,25,20,20,22,20
33,31,29,32,32,29,29,29,29,29,29
41,25,22,41,40,19,19,19,19,22,19
38,38,38,38,38,29,34,31,31,33,26
31,29,23,27,25,24,23,23,23,24,23
43,40,23,41,35,27,23,26,26,31,23
41,37,39,41,38,27,32,31,22,31,21
35,32,25,35,35,26,19,19,19,35,19
26,21,21,22,21,21,21,21,21,21,21
50,47,40,49,48,34,35,32,32,48,31
31,23,25,30,28,19,19,19,19,19,19
36,30,23,30,26,24,23,23,23,26,23
48,45,27,48,34,27,27,27,27,41,27
31,25,25,28,27,26,24,24,23,28,23
45,36,24,38,37,36,24,25,24,38,24
24,21,19,24,22,19,19,19,19,24,19
42,39,46,42,40,37,46,33,33,40,22
40,37,22,39,24,22,22,22,22,24,22
41,35,35,40,36,33,33,33,33,33,33
36,35,34,35,33,29,29,32,28,29,27
24,22,18,22,22,19,18,18,18,20,18
25,19,20,19,20,20,20,20,20,19,19
45,26,23,39,26,23,23,23,23,23,23
-1,-1,28,-1,-1,47,28,27,27,47,27
29,23,23,28,27,23,23,22,22,28,22
36,32,27,33,29,28,27,28,28,28,27
40,41,35,39,38,33,34,35,35,33,30
48,43,32,47,46,31,31,33,31,33,29
31,28,23,26,23,23,23,23,23,23,20
46,32,28,36,35,19,19,19,19,25,19
30,27,21,27,25,20,20,19,19,27,19
24,22,22,24,22,22,22,22,22,22,22
30,26,19,30,19,19,19,20,20,20,19
52,44,21,49,52,21,21,21,21,44,21
33,24,21,25,24,21,21,21,21,21,21
28,22,22,27,21,21,22,21,21,22,21
27,25,23,27,25,22,22,21,21,26,21
38,32,31,37,34,34,31,33,33,34,31
29,25,23,26,26,23,23,23,23,23,23
32,34,20,31,20,20,20,20,20,29,20
29,24,22,26,25,23,22,22,22,25,22
21,19,18,21,21,18,18,18,18,21,18
22,21,22,21,22,22,22,22,22,21,21
30,29,29,30,30,20,20,21,21,30,20
26,20,20,26,20,20,20,20,20,20,20
24,21,18,24,23,20,18,18,18,24,18
29,26,25,29,26,25,25,25,25,28,25
35,34,31,35,38,34,31,26,26,31,26
30,29,24,30,30,24,24,24,24,30,24
27,23,20,26,24,23,20,21,21,23,20
36,48,33,41,33,32,32,34,32,36,32
29,29,22,28,25,22,22,22,22,26,22
42,29,24,42,42,23,23,23,23,26,23
26,21,20,26,20,20,20,20,20,20,20
38,33,27,37,32,27,27,27,27,34,27
47,33,24,42,35,24,24,24,24,26,24
42,30,26,30,30,23,23,24,23,29,23
33,28,30,32,32,30,30,29,29,30,26
35,33,23,34,31,21,21,21,21,31,21
35,19,19,34,34,19,19,19,19,34,19
31,29,32,30,27,21,23,21,21,27,21
47,46,34,47,43,35,34,34,34,37,34
22,19,19,22,21,19,19,19,19,19,19
48,43,39,48,47,40,37,40,38,44,37
22,21,21,22,21,21,21,23,23,21,20
34,31,30,34,29,24,24,24,24,25,24
40,29,20,35,34,20,20,20,20,34,20
27,24,26,27,30,24,24,26,25,25,23
45,38,20,45,39,20,20,20,20,44,20
30,24,27,31,30,25,25,24,24,30,23
35,31,26,35,35,23,23,23,23,34,23
23,21,19,23,19,19,19,19,19,22,19
44,35,34,41,41,23,22,31,29,39,21
32,27,26,28,28,22,22,22,22,22,22
35,27,26,35,29,26,25,24,24,26,24
52,41,31,52,55,31,31,30,28,44,27
31,26,23,30,26,25,23,24,24,25,23
27,22,18,26,22,21,18,19,19,21,18
38,37,26,38,31,28,26,26,26,31,26
20,21,21,21,21,21,21,21,21,21,19
26,25,22,26,23,22,22,22,22,22,22
32,31,22,28,25,23,22,22,22,25,22
50,51,44,50,50,35,44,36,36,35,28
55,36,57,37,37,22,22,26,22,26,22
27,26,24,27,24,24,24,24,24,25,20
35,34,20,35,30,21,20,20,20,30,20
42,33,32,42,38,33,32,32,32,37,32
45,34,20,44,34,28,20,20,20,28,20
36,35,26,36,32,28,26,26,26,31,26
40,38,28,38,38,24,24,24,24,38,24
32,28,26,30,26,25,25,25,25,27,25
37,21,19,37,25,19,19,21,19,31,19
23,19,17,23,21,17,17,17,17,17,17
41,34,29,41,38,28,29,29,29,31,26
58,38,20,57,37,30,20,20,20,36,20
36,28,24,35,24,24,24,24,24,26,24
29,20,19,29,29,19,19,19,19,29,19
22,20,21,20,21,21,21,21,21,20,19
54,48,42,54,54,24,29,28,24,29,24
28,24,23,27,26,23,23,23,23,26,23
38,36,27,38,35,24,24,24,24,35,22
33,29,21,33,30,21,21,25,21,30,21
42,40,34,41,35,34,34,35,35,36,34
31,24,22,25,25,22,22,21,21,25,19
38,36,28,38,31,28,28,28,28,31,28
25,19,19,22,19,19,19,19,19,21,19
50,50,36,39,39,25,26,26,26,29,25
34,26,22,33,22,22,22,22,22,23,22
58,52,54,-1,52,49,49,50,49,52,49
29,22,22,29,22,22,22,22,22,22,22
30,29,26,30,29,25,24,24,24,30,24
35,32,24,34,29,24,24,21,21,29,20
31,23,23,24,24,21,21,21,21,21,21
25,26,18,25,25,18,18,18,18,18,18
54,42,32,53,47,30,30,31,30,32,30
46,47,29,46,37,29,29,28,28,32,27
32,28,27,29,32,24,24,23,23,29,23
49,48,28,48,42,38,28,39,39,42,28
31,23,19,30,19,19,19,19,19,23,19
55,36,37,55,55,27,27,28,28,39,27
48,35,25,48,40,26,21,26,22,40,21
46,30,29,43,32,32,29,29,29,32,29
37,35,32,35,34,31,31,30,30,35,30
57,45,37,56,55,37,36,38,38,43,35
26,20,18,26,23,21,18,19,19,26,18
40,29,27,40,27,27,27,27,27,28,27
35,33,32,34,34,32,32,32,32,32,32
37,30,30,37,33,32,26,29,29,33,25
40,31,28,39,31,26,26,27,27,31,26
60,59,30,60,34,27,27,27,27,33,27
47,45,36,47,48,40,23,31,23,41,23
22,18,18,21,18,18,18,18,18,21,18
39,38,25,39,33,25,25,25,25,34,25
29,24,21,29,28,19,21,19,19,28,19
35,36,30,35,28,25,24,23,23,25,23
57,29,20,57,26,24,20,20,20,26,20
24,22,20,24,20,20,20,20,20,21,20
47,22,22,32,24,22,22,22,22,22,22
34,24,20,33,29,21,20,20,20,29,20
28,27,18,25,24,18,18,18,18,25,18
30,18,20,27,23,20,20,20,20,27,18
-1,51,46,-1,-1,46,46,48,46,-1,46
48,32,30,41,31,26,29,28,26,32,26
31,30,31,31,31,30,30,31,30,31,28
28,21,20,23,19,19,19,19,19,21,19
24,20,19,21,19,19,19,19,19,20,19
36,34,33,36,35,25,27,25,25,27,25
21,19,19,21,19,19,19,19,19,19,19
42,36,32,39,34,29,29,29,29,34,29
44,38,33,40,39,33,33,33,33,39,33
32,23,23,31,31,23,23,23,23,23,23
35,31,21,31,31,21,21,21,21,31,21
53,55,52,53,53,37,36,40,36,51,36
31,29,24,29,24,24,24,24,24,25,24
28,27,23,28,27,22,22,22,22,23,21
41,33,26,40,39,39,26,23,23,40,22
48,36,21,48,48,25,21,21,21,39,21
27,24,18,27,25,19,18,18,18,27,18
30,25,24,29,28,23,23,22,22,23,22
31,27,24,31,29,20,24,19,19,29,19
28,24,21,27,26,22,21,23,22,27,19
41,24,18,37,36,18,18,18,18,36,18
51,41,37,51,48,40,33,42,38,37,32
27,18,18,26,18,18,18,18,18,21,18
43,34,38,40,42,38,38,38,38,39,29
44,31,26,44,44,30,26,26,26,44,26
28,28,21,28,27,20,20,19,19,28,19
42,40,28,42,29,26,26,25,25,29,25
26,20,18,23,22,19,18,18,18,23,18
31,30,24,31,27,24,24,26,24,29,24
45,36,34,40,45,35,34,34,34,39,34
27,25,21,27,26,21,21,24,21,21,21
27,27,23,26,24,23,23,23,23,26,21
33,22,21,23,21,21,21,21,21,22,21
25,20,20,25,25,20,20,20,20,20,20
42,38,31,42,37,29,30,24,24,29,24
36,32,27,35,35,27,27,27,27,34,24
27,24,24,27,27,24,24,24,24,24,24
25,20,20,25,20,20,20,20,20,22,20
27,26,25,27,25,25,25,25,25,25,25
28,23,21,28,28,21,21,21,21,28,21
21,20,19,20,19,19,19,19,19,20,19
32,23,22,31,22,22,22,22,22,28,22
32,32,30,31,29,29,30,28,26,29,21
40,26,25,31,26,23,25,23,23,31,23
25,19,19,25,23,19,19,19,19,19,19
32,28,27,32,27,27,27,25,22,27,22
29,24,24,29,25,20,20,19,19,29,19
51,41,47,50,50,37,42,34,29,50,28
41,20,18,40,32,18,18,18,18,24,18
53,41,45,53,46,30,31,38,30,41,30
41,36,38,41,43,39,31,32,27,37,27
53,44,35,53,50,48,35,33,25,48,25
50,27,28,38,33,22,26,21,21,33,21
29,27,20,28,27,22,20,20,20,28,20
31,29,33,31,31,23,23,22,22,31,22
37,33,30,36,31,30,30,31,30,31,28
48,34,30,48,36,28,28,28,28,36,27
40,27,31,41,27,27,24,24,24,27,24
33,23,23,32,31,24,23,23,23,24,23
34,29,19,29,25,19,19,20,20,29,19
32,23,21,28,21,21,21,21,21,23,21
54,27,28,54,25,22,22,22,22,22,22
32,26,26,32,31,26,26,26,26,31,26
51,38,35,50,40,36,35,36,35,38,35
45,38,24,44,30,22,24,22,22,30,22
35,35,33,35,33,28,28,30,28,33,22
26,23,22,26,22,22,22,23,23,23,22
30,26,20,29,28,20,20,20,20,29,20
27,22,23,25,23,23,23,23,23,25,22
32,24,22,31,22,22,22,22,22,31,22
30,26,24,30,25,24,24,24,24,27,24
32,25,25,32,32,25,25,25,25,25,25
30,25,25,30,29,25,25,25,25,25,25
36,40,26,36,26,20,20,19,19,36,19
38,32,31,36,33,31,31,31,31,31,31
38,27,27,38,38,28,27,23,21,29,21
30,19,18,28,18,18,18,18,18,20,18
55,46,29,55,46,27,27,29,27,32,24
19,19,19,19,19,19,19,19,19,19,19
29,24,18,28,28,18,18,18,18,23,18
37,37,21,36,36,21,21,21,21,26,21
45,38,29,45,35,27,27,26,25,35,25
42,36,37,40,39,31,27,32,31,38,27
38,32,30,38,36,33,30,34,34,33,20
42,36,30,42,39,33,30,33,33,36,30
28,25,21,27,21,21,21,21,21,24,21
27,25,21,26,21,21,21,21,21,23,21
46,46,33,45,33,28,25,26,25,39,25
38,27,23,38,37,26,23,24,23,29,20
25,24,22,25,22,22,22,22,22,23,22
24,22,22,23,22,22,22,22,22,22,22
32,28,28,29,29,28,28,28,28,29,22
36,33,27,36,32,32,27,28,27,33,27
26,19,19,26,19,19,19,19,19,25,19
49,31,31,48,49,24,24,27,24,28,24
27,18,18,27,25,18,18,18,18,27,18
32,20,20,27,27,20,20,20,20,20,20
27,23,22,27,24,23,22,22,22,23,22
33,30,31,33,33,23,23,22,22,32,22
45,45,34,45,37,35,34,34,34,36,20
38,38,25,37,34,25,25,25,25,32,25
49,30,27,49,33,28,27,27,27,32,27
36,34,39,36,35,35,39,36,36,36,32
54,54,28,53,47,27,27,28,27,47,27
21,20,19,21,19,19,19,19,19,19,19
38,31,31,38,35,32,31,32,32,32,31
27,22,22,27,22,22,23,22,22,27,22
49,49,21,46,40,30,21,21,21,39,21
34,31,30,34,34,33,29,30,30,32,29
31,30,23,31,23,23,23,20,20,29,20
27,24,19,26,26,20,19,19,19,26,19
27,23,22,27,22,22,22,23,23,24,21
26,23,21,26,26,21,21,21,21,21,21
28,27,18,26,18,18,18,18,18,26,18
27,25,20,27,27,21,20,20,20,27,20
45,45,41,45,40,38,38,39,38,43,36
29,25,24,29,25,18,18,18,18,29,18
23,21,18,23,23,18,18,18,18,18,18
25,19,18,25,21,18,18,18,18,25,18
39,30,23,39,31,24,23,24,24,31,23
29,24,24,29,28,24,24,24,24,28,24
29,22,23,28,27,23,23,23,23,28,19
53,40,36,53,40,30,22,29,25,40,22
38,36,30,37,34,32,30,30,28,32,28
41,37,32,40,33,32,32,33,32,32,28
31,23,22,25,24,22,22,21,21,25,21
22,21,21,22,21,21,21,21,21,22,17
37,29,24,34,29,24,24,24,24,34,24
31,29,28,30,30,19,21,19,19,30,19
27,27,21,20,18,18,18,18,18,18,18
22,20,20,21,20,20,20,20,20,21,18
30,21,19,26,19,19,19,19,19,19,19
30,25,25,30,25,25,25,25,25,30,24
30,25,25,28,25,25,25,25,25,28,25
39,38,24,39,36,33,24,24,24,37,24
23,21,21,23,21,21,21,21,21,21,21
35,28,23,35,34,26,23,24,24,34,23
27,23,22,26,26,22,22,22,22,26,19
27,27,27,27,28,26,26,28,28,26,26
23,22,17,23,21,17,17,17,17,17,17
51,46,29,44,44,30,29,32,26,42,25
44,34,23,44,33,23,23,23,23,23,23
53,39,37,53,42,37,37,36,36,42,35
29,25,22,28,26,24,22,23,23,26,22
37,31,23,37,32,23,23,23,23,32,20
21,17,17,21,17,17,17,17,17,20,17
48,46,20,48,47,20,20,21,20,33,20
35,28,28,34,29,28,28,28,28,28,28
51,49,43,51,49,37,30,37,30,37,30
33,36,21,33,28,21,21,21,21,21,21
56,53,52,59,53,34,34,35,33,51,33
45,41,27,44,40,23,27,24,24,38,20
30,24,22,27,24,22,22,22,22,22,22
29,27,22,28,28,22,22,21,21,28,21
27,23,21,26,26,21,21,21,21,26,21
29,28,23,29,24,22,22,22,22,24,22
31,27,25,30,25,25,25,25,25,30,25
21,18,18,21,18,18,18,18,18,20,18
32,30,27,32,31,26,27,25,25,31,25
25,25,23,23,23,23,23,23,23,23,20
29,25,21,29,28,22,21,21,21,22,21
46,41,32,46,34,32,32,32,32,32,30
51,50,41,51,49,42,41,41,41,42,41
27,20,19,22,22,19,19,19,19,19,19
41,34,30,40,34,30,30,31,30,30,24
31,32,24,31,23,23,24,24,24,24,23
40,35,29,40,31,28,29,28,28,30,28
26,24,23,26,25,24,23,23,23,25,23
23,22,20,22,20,20,20,20,20,22,20
35,20,19,34,23,23,19,19,19,26,19
25,25,20,24,24,21,20,20,20,22,20
37,28,27,37,31,27,27,28,27,28,27
50,53,31,49,37,27,27,27,27,37,26
31,28,23,29,28,26,23,23,23,29,23
35,33,22,32,32,22,22,21,21,32,21
22,20,20,21,20,20,20,20,20,20,20
34,33,30,34,31,30,30,30,30,30,26
31,27,22,31,27,23,22,23,23,31,22
29,23,23,29,23,23,23,23,23,23,23
30,21,18,26,21,19,18,18,18,21,18
38,28,22,36,36,22,22,22,22,36,22
28,22,22,27,22,22,22,22,22,22,22
32,31,26,32,32,26,26,26,26,24,19
30,23,20,29,20,20,20,20,20,22,20
26,22,20,22,20,20,20,20,20,22,20
41,35,35,41,31,31,31,33,31,38,31
33,23,23,25,20,20,21,20,20,22,20
46,35,29,43,43,35,28,28,28,38,27
27,25,21,26,21,21,21,21,21,23,21
40,38,33,39,40,33,33,34,33,39,25
24,22,22,24,22,22,22,22,22,22,22
35,34,34,34,33,26,24,23,23,33,21
37,40,31,37,30,30,29,30,29,32,29
36,25,24,36,24,23,23,24,23,23,21
38,38,24,38,26,25,24,25,25,25,24
31,30,26,30,27,26,26,26,26,26,21
33,30,22,33,33,19,19,19,19,33,19
24,21,20,24,23,23,20,20,20,24,20
35,22,20,23,20,20,20,20,20,21,20
46,45,30,45,36,31,30,30,32,33,30
27,21,19,26,22,19,19,19,19,22,19
26,22,22,26,22,22,22,22,22,22,22
20,19,19,19,19,19,19,19,19,19,19
-1,57,37,-1,50,37,37,36,36,40,36
25,25,23,25,23,23,23,23,23,22,21
52,46,50,52,51,42,49,44,42,51,26
43,40,35,43,43,34,34,39,34,42,34
32,30,21,32,29,25,21,21,21,29,21
38,33,28,38,25,25,28,28,28,25,20
32,21,19,23,23,19,19,19,19,19,19
31,29,29,32,32,24,29,29,25,27,24
21,19,19,20,19,19,19,19,19,20,19
50,41,43,50,50,23,43,30,29,27,23
34,32,19,34,37,19,19,19,19,25,19
32,27,25,31,28,27,25,25,25,31,25
54,29,28,54,43,28,28,29,28,45,28
33,26,28,33,25,25,28,25,25,25,23
34,34,23,34,25,24,23,23,23,24,23
29,29,19,29,28,19,19,19,19,19,19
36,26,23,36,27,23,23,23,23,24,21
34,21,19,24,19,19,19,19,19,22,19
32,30,22,31,26,23,22,22,22,26,22
25,19,18,20,18,18,18,18,18,20,18
-1,30,31,-1,-1,55,31,31,31,60,29
27,23,21,26,24,21,21,21,21,21,21
20,18,18,20,18,18,18,18,18,18,18
41,36,36,41,40,36,36,36,37,36,36
28,24,23,28,27,23,23,23,23,25,23
25,23,23,25,22,21,21,22,21,24,21
39,38,28,37,37,20,20,20,20,37,20
24,23,21,23,23,21,21,21,21,21,21
42,43,21,42,32,22,21,21,21,31,21
27,24,21,26,24,21,21,21,21,26,21
25,21,18,24,22,18,18,18,18,24,18
44,39,22,44,31,23,22,23,23,31,22
32,23,23,31,23,23,23,23,23,26,23
34,34,34,34,31,25,25,28,25,31,25
30,25,19,29,29,21,19,19,19,29,19
38,36,27,38,25,25,26,26,25,28,25
37,26,20,29,20,20,20,20,20,21,20
19,19,17,19,17,17,17,17,17,19,17
36,33,26,36,27,-1,-1,26,26,-1,26
26,25,21,25,21,21,21,21,21,21,21
31,25,23,30,26,26,23,23,23,30,22
43,44,39,40,40,25,25,24,24,40,24
28,24,24,27,24,24,24,24,24,25,24
35,35,20,33,27,20,20,20,20,33,20
37,34,34,37,33,25,25,31,30,28,25
27,22,22,27,24,22,22,22,22,22,22
44,31,45,44,39,39,45,34,30,39,29
29,26,23,28,26,24,23,24,24,26,23
44,30,23,44,34,29,23,25,25,31,23
36,35,29,36,35,33,29,29,29,34,28
36,29,24,36,25,25,21,21,21,25,21
24,22,22,22,22,22,22,22,22,22,19
42,29,23,34,25,24,23,23,23,24,23
42,36,32,41,32,32,32,32,32,32,26
38,36,31,38,33,32,31,32,32,32,31
34,43,35,34,31,27,27,27,27,33,27
32,26,22,31,31,23,22,22,22,31,22
25,18,18,25,18,18,18,18,18,20,18
42,38,26,42,41,27,26,27,26,28,26
45,25,23,28,27,24,23,22,22,28,20
42,41,32,42,31,31,32,31,31,35,31
26,23,23,25,25,23,23,23,23,23,23
31,17,17,23,17,17,17,17,17,17,17
29,23,22,29,20,20,20,20,20,20,20
36,34,27,33,36,28,27,27,27,31,24
24,22,22,24,22,22,22,22,22,22,22
35,32,30,32,29,29,30,30,30,30,29
33,24,20,32,32,20,20,20,20,32,20
38,27,25,38,25,25,25,26,26,26,25
46,30,28,46,46,24,24,30,24,26,24
27,27,19,27,27,19,19,20,20,27,19
43,26,21,38,34,19,19,19,19,34,19
26,20,18,26,23,19,18,18,18,26,18
24,18,18,23,22,21,18,18,18,23,18
33,29,23,33,29,23,23,23,23,30,23
29,27,27,28,27,25,24,24,24,28,20
34,32,33,34,33,30,30,29,29,30,29
43,38,28,43,38,26,26,29,29,25,22
36,25,21,36,22,21,21,21,21,21,21
31,24,24,29,28,24,24,24,24,24,24
29,25,20,27,26,20,20,21,20,27,20
54,46,26,51,26,26,26,26,26,27,26
